artid,journal,volume,issue,year,month,pages,cited3,cited2012,aut_num,ack_num,com_num,aut_cluster,ack_cluster,com_cluster,bip_cluster,aut_jaccard,ack_jaccard,com_jaccard,aut_density,ack_density,com_density,bip_density,aut_avgdegree,ack_avgdegree,com_avgdegree,bip_avgdegree,aut_flowhier,ack_flowhier,com_flowhier,aut_numcomp,ack_numcomp,com_numcomp,bip_numcomp
60,annurevisoci,33,1,2007,6,219-240,8,27,2,1,3,99,99,0.0,0.0,0.142857142857,99,0.125396825397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,1,3,3

61,annurevisoci,33,1,2007,6,241-262,6,19,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

62,annurevisoci,33,1,2007,6,263-284,6,21,3,0,3,1.0,99,1.0,0.0,0.260126418989,99,0.260126418989,1.66666666667,0.0,1.66666666667,0.0,3.33333333333,0.0,3.33333333333,0.0,0.0,99,0.0,1,0,1,3

63,annurevisoci,33,1,2007,6,285-311,15,47,2,0,2,99,99,99,0.0,0.047619047619,99,0.047619047619,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,99,1.0,1,0,1,2

64,annurevisoci,33,1,2007,6,313-334,8,17,3,3,6,0.0,0.0,0.388888888889,0.0,0.156602254428,0.215323682816,0.12984628207,1.33333333333,0.5,0.466666666667,0.333333333333,2.66666666667,1.0,2.33333333333,0.5,0.125,0.0,0.0714285714286,1,2,2,4

65,annurevisoci,33,1,2007,6,335-357,14,32,2,1,3,99,99,0.0,0.0,0.0666666666667,99,0.0588791137178,0.0,0.0,0.166666666667,0.5,0.0,0.0,0.333333333333,0.333333333333,99,99,1.0,2,1,2,2

66,annurevisoci,33,1,2007,6,359-379,13,30,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

67,annurevisoci,33,1,2007,6,381-405,18,33,2,0,2,99,99,99,0.0,0.25,99,0.25,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,99,0.0,1,0,1,2

68,annurevisoci,33,1,2007,6,407-428,6,8,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

69,annurevisoci,33,1,2007,6,429-448,3,8,1,3,4,99,0.0,0.0,0.0,99,0.100062247121,0.0566977902272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,3,4,4

70,annurevisoci,33,1,2007,6,449-472,19,60,3,6,9,0.0,0.388888888889,0.333333333333,0.111111111111,0.33578255675,0.124914285268,0.132073803604,0.0,0.6,0.291666666667,0.166666666667,0.0,3.0,2.33333333333,0.333333333333,99,0.0555555555556,0.047619047619,3,3,5,7

71,annurevisoci,33,1,2007,6,473-501,19,37,3,2,5,0.0,99,0.0,0.0,0.619047619048,0.153846153846,0.282317388494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,3,2,5,5

72,annurevisoci,33,1,2007,6,503-525,12,28,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

73,annurevisoci,33,1,2007,6,527-549,6,10,1,4,5,99,0.0,0.0,0.0,99,0.0615062357485,0.0433109554975,0.0,0.0833333333333,0.05,0.0,0.0,0.25,0.2,0.0,99,1.0,1.0,1,3,4,5

74,annurevisoci,33,1,2007,6,551-577,3,9,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

75,annurevisoci,32,1,2006,6,1-23,0,0,1,1,2,99,99,99,0.0,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,1,2,2

76,annurevisoci,32,1,2006,6,25-52,8,33,2,0,2,99,99,99,0.0,0.111111111111,99,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

77,annurevisoci,32,1,2006,6,53-78,9,49,3,0,3,0.0,99,0.0,0.0,0.0416557734205,99,0.0416557734205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,3,0,3,3

78,annurevisoci,32,1,2006,6,79-102,8,46,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

79,annurevisoci,32,1,2006,6,103-125,0,3,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

80,annurevisoci,32,1,2006,6,127-144,5,20,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

81,annurevisoci,32,1,2006,6,145-169,13,26,2,2,4,99,99,0.0,0.0,0.117647058824,0.0681818181818,0.0870392914989,0.0,0.0,0.166666666667,0.5,0.0,0.0,0.5,0.5,99,99,1.0,2,2,3,3

82,annurevisoci,32,1,2006,6,171-189,4,15,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

83,annurevisoci,32,1,2006,6,191-211,4,11,1,3,4,99,0.0,0.0,0.0,99,0.0368810916179,0.0588109161793,0.0,0.0,0.5,2.0,0.0,0.0,1.5,1.5,99,99,1.0,1,3,2,2

84,annurevisoci,32,1,2006,6,213-244,3,7,1,2,3,99,99,0.0,0.0,99,0.0285714285714,0.0734126984127,0.0,0.5,0.333333333333,0.5,0.0,0.5,0.666666666667,0.333333333333,99,1.0,1.0,1,1,1,2

85,annurevisoci,32,1,2006,6,245-270,2,10,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

86,annurevisoci,32,1,2006,6,271-297,22,99,2,5,7,99,0.0,0.0,0.0,0.106382978723,0.065508153734,0.0646603006778,0.0,0.05,0.0714285714286,0.2,0.0,0.2,0.428571428571,0.285714285714,99,1.0,1.0,2,4,5,6

